2021-03-02 01:00:00.016 [RuoyiScheduler_Worker-19] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299865
2021-03-02 01:00:00.017 [RuoyiScheduler_Worker-19] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299922
2021-03-02 01:00:00.018 [RuoyiScheduler_Worker-19] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 599933
2021-03-02 01:05:00.052 [RuoyiScheduler_Worker-12] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299943
2021-03-02 01:10:00.012 [RuoyiScheduler_Worker-15] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299861
2021-03-02 01:10:00.012 [RuoyiScheduler_Worker-15] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299925
2021-03-02 01:10:00.016 [RuoyiScheduler_Worker-15] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 599918
2021-03-02 01:10:00.016 [RuoyiScheduler_Worker-15] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 599931
2021-03-02 01:15:00.026 [RuoyiScheduler_Worker-9] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299894
2021-03-02 01:15:00.027 [RuoyiScheduler_Worker-9] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299909
2021-03-02 01:15:00.028 [RuoyiScheduler_Worker-9] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299930
2021-03-02 01:20:00.040 [RuoyiScheduler_Worker-18] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299948
2021-03-02 01:25:00.056 [RuoyiScheduler_Worker-12] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299975
2021-03-02 01:30:00.016 [RuoyiScheduler_Worker-15] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299862
2021-03-02 01:30:00.017 [RuoyiScheduler_Worker-15] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299929
2021-03-02 01:35:00.017 [RuoyiScheduler_Worker-19] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299851
2021-03-02 01:35:00.018 [RuoyiScheduler_Worker-19] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299898
2021-03-02 01:35:00.019 [RuoyiScheduler_Worker-19] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299913
2021-03-02 01:35:00.020 [RuoyiScheduler_Worker-19] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299929
2021-03-02 01:40:00.010 [RuoyiScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299854
2021-03-02 01:40:00.011 [RuoyiScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299905
2021-03-02 01:40:00.012 [RuoyiScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299918
2021-03-02 01:40:00.012 [RuoyiScheduler_Worker-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299924
2021-03-02 01:45:00.024 [RuoyiScheduler_Worker-7] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299916
2021-03-02 01:45:00.025 [RuoyiScheduler_Worker-7] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299925
2021-03-02 01:45:00.026 [RuoyiScheduler_Worker-7] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299946
2021-03-02 01:50:00.017 [RuoyiScheduler_Worker-9] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299856
2021-03-02 01:50:00.018 [RuoyiScheduler_Worker-9] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299911
2021-03-02 01:50:00.018 [RuoyiScheduler_Worker-9] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299923
2021-03-02 01:55:00.010 [RuoyiScheduler_Worker-13] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299859
2021-03-02 01:55:00.011 [RuoyiScheduler_Worker-13] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299914
2021-03-02 01:55:00.012 [RuoyiScheduler_Worker-13] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299929
2021-03-02 02:00:00.010 [RuoyiScheduler_Worker-15] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://68.32.134.31:3306/evaluate?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8, version : 1.2.2, lastPacketReceivedIdleMillis : 299913
